lexical_density,ttr,sentence_mean_len,sentence_std_len,bigram_entropy,punct_ratio,long_words_ratio,total_words,paragraphs_per_sent,words_longer6_ratio,is_ia
0.5220338983050847,0.49491525423728816,21.733333333333334,9.996443812120834,7.852688907292241,0.08813559322033898,0.3423728813559322,295,0.26666666666666666,0.3423728813559322,0
0.5732009925558312,0.3970223325062035,22.5,5.034878350069642,7.883499795781738,0.11662531017369727,0.2531017369727047,403,0.25,0.2531017369727047,1
0.4608294930875576,0.46543778801843316,28.625,12.58905774869589,7.42609328916044,0.055299539170506916,0.15207373271889402,217,0.625,0.15207373271889402,0
0.5150214592274678,0.5407725321888412,25.9,11.562439189029277,7.4765497580261995,0.0944206008583691,0.296137339055794,233,0.3,0.296137339055794,0
0.47335423197492166,0.3605015673981191,25.666666666666668,10.934146311237816,8.754224153788781,0.10658307210031348,0.10815047021943573,638,0.25925925925925924,0.10815047021943573,0
0.6535714285714286,0.6,23.692307692307693,5.634845099019211,8.032610137471709,0.10357142857142858,0.40714285714285714,280,0.3076923076923077,0.40714285714285714,1
0.5816326530612245,0.4923469387755102,17.8,7.730459236035076,8.399629642883781,0.17346938775510204,0.1913265306122449,392,0.28,0.1913265306122449,1
0.548951048951049,0.5174825174825175,24.0,5.615911461059686,7.814944336196665,0.10839160839160839,0.36713286713286714,286,0.46153846153846156,0.36713286713286714,1
0.5707196029776674,0.43424317617866004,22.65,4.5307284182568255,8.201000873650461,0.13399503722084366,0.34491315136476425,403,0.3,0.34491315136476425,1
0.45321637426900585,0.4502923976608187,32.09090909090909,6.680426571226849,8.165365025038573,0.038011695906432746,0.15789473684210525,342,0.36363636363636365,0.15789473684210525,0
0.5283582089552239,0.49850746268656715,15.6,10.205880657738458,8.152001756657663,0.18208955223880596,0.19402985074626866,335,1.04,0.19402985074626866,0
0.43613707165109034,0.40498442367601245,21.375,11.335094838597515,7.773816357792023,0.07165109034267912,0.1806853582554517,321,0.375,0.1806853582554517,0
0.4854368932038835,0.45307443365695793,19.529411764705884,4.912381081438345,8.013257071766137,0.06472491909385113,0.14563106796116504,309,0.29411764705882354,0.14563106796116504,0
0.5957446808510638,0.47044917257683216,17.392857142857142,7.470605663504922,8.307027765474139,0.14420803782505912,0.23877068557919623,423,0.17857142857142858,0.23877068557919623,0
